Molecule ChEMBL ID;Molecular Weight;#RO5 Violations;AlogP;Smiles;pChEMBL Value;Ligand Efficiency BEI;Assay Type;Activity_Class;std_Molecular Weight;std_AlogP;std_Ligand Efficiency BEI
CHEMBL7927;326.83;0.0;3.31;Clc1ccc(N2CCN(Cc3cnn4ccccc34)CC2)cc1;5.37;16.42;1;0;0.06633506363254407;0.48754386187509713;0.17842318619321976
CHEMBL1078207;458.59;0.0;4.48;O=S(=O)(Nc1ccc2c(c1)CCN(Cc1cc[nH]n1)CC2)c1ccc(-c2ccccc2)cc1;6.2;13.519701694323906;2;1;0.1020506078636;0.5287800160433321;0.14690793256291976
CHEMBL231546;505.87;2.0;5.6;CN1CCc2cc(Br)c(NS(=O)(=O)c3ccc(-c4ccc(Cl)cc4)cc3)cc2CC1;7.2;14.23;1;1;0.11486656817966197;0.5682539414009586;0.15462618389339322
CHEMBL231431;444.96;0.0;4.98;CN1CCc2ccc(NS(=O)(=O)c3ccc(-c4ccc(F)c(Cl)c4)cc3)cc2CC1;7.3;16.41;1;1;0.09835598986216336;0.5464023041494155;0.17831452408226162
CHEMBL231333;358.51;0.0;3.82;CCCCc1ccc(S(=O)(=O)Nc2ccc3c(c2)CN(C)CC3)cc1;6.4;17.85;1;1;0.0749224076006668;0.5055185957433022;0.19396186806022975
CHEMBL284092;359.47;0.0;1.55;CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1;5.37;14.92;1;0;0.07518263014515539;0.4255134077416839;0.16212386954950295
CHEMBL4097395;425.56;0.0;2.35;Cc1nc2n(c(=O)c1CCN1CCN(c3nccc4sccc34)CC1)CCCC2O;7.7;18.09380580881662;2;1;0.09309732594229023;0.4537090687114172;0.1966111134452161
CHEMBL5882179;492.57;0.0;4.49;Cc1ncoc1-c1nnc(SCCCN2C[C@@H]3CCN(c4ccc(C(F)(F)F)cc4)[C@@H]3C2)n1C;6.86;13.93;1;1;0.11126140167789327;0.5291324618054538;0.15136632056464985
CHEMBL5915400;449.58;0.0;3.34;Cc1ncoc1-c1nnc(SCCCN2C[C@@H]3CCN(c4cccc(C#N)c4)[C@@H]3C2)n1C;8.66;19.26;1;1;0.09960831085751459;0.48860119916146216;0.20928322570532354
CHEMBL54;375.87;0.0;4.43;O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1;9.22;24.53;1;1;0.07962809861350174;0.5270177872327237;0.26654815818024846
CHEMBL366265;283.42;0.0;4.0;CCN(CC)CCOc1ccccc1Cc1ccccc1;5.69;20.09;1;0;0.05456812544895165;0.5118626194614921;0.2183021809148468
CHEMBL187367;295.43;0.0;4.14;c1ccc(Cc2ccccc2OCCCN2CCCC2)cc1;6.0;20.3;1;1;0.057823617906563846;0.5167968601311954;0.22058408524496714
CHEMBL54786;371.48;0.0;3.7;O=C1Cc2cc(CCN3CCN(c4cccc5ccccc45)CC3)ccc2N1;7.36;19.8;1;1;0.07843812260276757;0.5012892465978421;0.21515097969706157
CHEMBL199859;423.52;0.0;3.01;COc1ccccc1N1CCN(CCCCNC(=O)c2cc(-c3ccco3)[nH]n2)CC1;6.89;16.26;1;1;0.092544353035252;0.4769704890114471;0.17668459241788995
CHEMBL424667;409.49;0.0;2.56;COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3nonc3c2)CC1;6.0;14.652372463308017;1;1;0.08874130897361181;0.46111042971597216;0.15921577224075592
CHEMBL3323116;560.71;1.0;4.72;CC(C)(C)c1nc(N2CCN(CCCCNC(=O)C3CCN(Cc4ccccc4)CC3)CC2)cc(C(F)(F)F)n1;6.47;11.54;1;1;0.12973178103357141;0.5372387143342521;0.1253960760456611
CHEMBL3323001;462.99;0.0;3.87;O=C(NCCCCN1CCN(c2ccnc3cc(Cl)ccc23)CC1)c1cn2ccccc2n1;5.72;12.37;1;0;0.10324329452583929;0.5072808245539104;0.1344150312551844
CHEMBL5949785;586.71;1.0;4.09;CC(C)(C)c1nc(N2CCN(CCCCNC(=O)N3CCN(Cc4cccc(C#N)c4)CC3)CC2)cc(C(F)(F)F)n1;6.09;10.37;1;1;0.13677947494680348;0.5150346313205871;0.11268260906356202
CHEMBL5760184;672.24;2.0;6.47;CC(C)(C)c1nc(N2CCN(CCCCNC(=O)N3CCN(C(c4ccccc4)c4ccc(Cl)cc4)CC3)CC2)cc(C(F)(F)F)n1;6.0;8.93;1;1;0.1599636772698318;0.5989167227055436;0.09703526508559392
CHEMBL5908754;611.74;1.0;3.41;CC(C)(C)c1nc(N2CCN(CCCCNC(=O)N3CCN(S(=O)(=O)c4ccccc4)CC3)CC2)cc(C(F)(F)F)n1;6.01;9.82;1;1;0.14356423566404186;0.4910683194963138;0.10670619296086588
CHEMBL6053280;506.09;2.0;5.38;O=C(NCCCCN1CCN(c2ccnc3cc(Cl)ccc23)CC1)N1CCC(c2ccccc2)CC1;5.55;10.98;1;0;0.11492620251277393;0.560500134634282;0.11931099783200687
CHEMBL3323017;539.01;1.0;3.82;CC(C)(C)c1nc(N2CCN(CCCCNC(=O)c3cn4nc(Cl)ccc4n3)CC2)cc(C(F)(F)F)n1;6.18;11.47;1;1;0.12384966726752773;0.5055185957433022;0.12463544126895434
CHEMBL5924746;561.7;1.0;4.54;Cc1ccccc1N1CCN(C(=O)NCCCCN2CCN(c3cc(C(F)(F)F)nc(C(C)(C)C)n3)CC2)CC1;6.1;10.87;1;1;0.13000013553257528;0.5308946906160621;0.11811571461146762
CHEMBL5900920;601.76;1.0;4.8;CC(C)(C)c1nc(N2CCN(CCCCNC(=O)N3CCN(C4CC4)CC3Cc3ccccc3)CC2)cc(C(F)(F)F)n1;6.2;10.31;1;1;0.14085900546196278;0.5400582804312254;0.11203063639781337
CHEMBL3084629;588.17;1.0;4.77;Cc1cnc(-c2cccc(C(=O)N[C@H]3CC[C@H](CCN4CCc5ccc(OS(C)(=O)=O)cc5CC4)CC3)c2)o1.Cl;6.5;11.78;1;1;0.13717523006654647;0.5390009431448604;0.1280039667086558
CHEMBL5940523;469.64;0.0;2.11;Cc1nc(N2CCN(CCCCNC(=O)N3CCn4c(C)nnc4C3)CC2)cc(C(C)(C)C)n1;4.98;10.6;1;0;0.10504587777672363;0.4452503704204972;0.11518183761559861
CHEMBL5821609;517.72;1.0;4.54;Cc1ccc2[nH]c3c(c2c1)CN(C(=O)NCCCCN1CCN(c2cc(C(C)(C)C)nc(C)n2)CC1)CC3;5.26;10.16;1;0;0.11807869021319274;0.5308946906160621;0.11040070473344168
CHEMBL210404;349.44;0.0;2.6;COc1ccccc1N1CCN(Cc2cnn(-c3ccccn3)c2)CC1;7.51;21.49;1;1;0.07246384668555086;0.46252021276445887;0.23351487644898244
CHEMBL210578;401.91;0.0;4.96;O=C(CCCN1C2CCC1CC(O)(c1ccc(Cl)cc1)C2)c1ccc(F)cc1;8.8;21.89;1;1;0.08668663513275415;0.5456974126251721;0.23786136088730694
CHEMBL25236;417.55;0.0;4.18;COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1;6.7;16.04;1;1;0.09092609408671373;0.5182066431796821;0.17429402597681146
CHEMBL378455;315.42;0.0;4.16;C1=C(c2ccccc2)CCN(Cc2cnn(-c3ccccc3)c2)C1;7.6;24.0948576501173;2;1;0.06324221026523724;0.5175017516554388;0.26181980954969575
CHEMBL378455;315.42;0.0;4.16;C1=C(c2ccccc2)CCN(Cc2cnn(-c3ccccc3)c2)C1;8.77;27.80419757783273;2;1;0.06324221026523724;0.5175017516554388;0.30212628023037263
CHEMBL2397381;393.91;0.0;4.44;CN1CCc2ccc(Cc3ccccc3)c3c2[C@H]1Cc1ccc(O)c(O)c1-3.Cl;7.11;19.9;1;1;0.08451811392868276;0.5273702329948454;0.21623760080664264
CHEMBL4104596;444.0;0.0;4.51;Cc1cccc(S(=O)(=O)NCCN2CC=C(c3c(C)[nH]c4ccc(Cl)cc34)CC2)c1;6.46;14.54;1;1;0.09809576731767479;0.5298373533296971;0.15799470933309467
CHEMBL4071451;449.55;0.0;4.53;O=S(=O)(NCCN1CC=C(c2c[nH]c3ccc(F)cc23)CC1)c1ccc2ccccc2c1;7.85;17.47;1;1;0.09960017890299933;0.5305422448539404;0.18983270784382147
CHEMBL4069237;480.03;1.0;5.43;O=S(=O)(NCCCN1CC=C(c2c[nH]c3ccc(Cl)cc23)CC1)c1cccc2ccccc12;8.55;17.82;1;1;0.10786224469051135;0.5622623634448904;0.1936358817273554
CHEMBL4066916;236.27;0.0;0.57;Oc1ccc(N2CCNCC2)c2c1OCCO2;5.22;22.1;1;0;0.04178740360245585;0.3909737230537606;0.2401432652174273
CHEMBL4103639;461.52;0.0;2.68;O=Cc1cnn2ccc(OCCCCN3CCN(c4ccc(O)c5[nH]c(=O)ccc45)CC3)cc12;9.0;19.5;1;1;0.10284482875459115;0.4653397788614322;0.2118911163683182
CHEMBL1112;448.39;0.0;4.86;O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1;9.28;20.71;1;1;0.09928574332840896;0.5421729550039555;0.22503923179424976
CHEMBL1112;448.39;0.0;4.86;O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1;9.42;21.01;1;1;0.09928574332840896;0.5421729550039555;0.2282990951229931
CHEMBL4064191;245.28;0.0;0.64;O=c1ccc2c(N3CCNCC3)ccc(O)c2[nH]1;5.92;24.14;1;0;0.044229700608541256;0.39344084338861224;0.2623103358528821
CHEMBL5812507;463.6;1.0;5.04;COc1cccc(C(c2ccccn2)N(C)CC2CCN(CCOc3ccccc3F)CC2)c1;7.26;15.66;1;1;0.10340864426764972;0.5485169787221454;0.17016486576040324
CHEMBL1224697;384.55;0.0;4.2;CCN1C[C@H]2C[C@@]2(c2ccc(NS(=O)(=O)c3ccc(C(C)C)cc3)cc2)C1;7.0;18.20309452606943;2;1;0.08198094411991921;0.5189115347039255;0.19779866771727558
CHEMBL1223657;356.49;0.0;3.47;CC(C)c1ccc(S(=O)(=O)Nc2ccc(C34CNCC3C4)cc2)cc1;6.3;17.672304973491542;2;1;0.07437485599663879;0.4931829940690438;0.19203099639151305
CHEMBL2397389;414.59;1.0;5.69;C#CC1=CC[C@H](N(CCC)CCCCNC(=O)c2ccc(-c3ccccc3)cc2)CC1;7.75;18.68;1;1;0.09012374124120731;0.5714259532600537;0.202980823269753
CHEMBL2397479;394.58;1.0;5.24;C#CC1=CC[C@H](N(CCC)CCCCNC(=O)c2cc3ccccc3s2)CC1;7.5;18.99;1;1;0.08469972757952372;0.5555658939645787;0.20634934870945448
CHEMBL2397477;549.76;2.0;5.43;C#CC1=CC[C@H](N(CCC)CCCCNC(=O)c2ccc(OCCCc3cnn(CCCC)n3)c(OC)c2)CC1;8.1;14.73;1;1;0.12676361763549865;0.5622623634448904;0.16005928944129882
CHEMBL2397478;549.76;2.0;5.43;C#CC1=CC[C@@H](N(CCC)CCCCNC(=O)c2ccc(OCCCc3cnn(CCCC)n3)c(OC)c2)CC1;9.28;16.87;1;1;0.12676361763549865;0.5622623634448904;0.18331298118633477
CHEMBL28437;379.44;0.0;3.89;CCCN(CCC)C1CCc2cccc(OS(=O)(=O)C(F)(F)F)c2C1;7.21;19.0;1;1;0.0805958012008186;0.5079857160781538;0.2064580108204126
CHEMBL1209157;395.48;0.0;4.33;COc1ccc(OC)c(C2CCN(Cc3cnn(-c4ccccc4F)c3C)C2)c1;6.0;15.17143724082128;1;1;0.08494368621498177;0.5234933296115071;0.1648560396856153
